id	name	estdate	icon	score	about	factions_id
57	the-ppl	2014-12-20	AQ4OBAAwDAepqpqql9eqq1W+qvla+q6Za+vppq65VVXlVqmevaqW6lqqfqeqpWm///aqqqpaqqqq	0	batos locos forever!!!	
58	Night_Flyers	2014-12-20	AQ4OBAAgDAcAAAAAAFDADAUAwAAAAACAAADAKqAACgIMAoAgBAoCAAAqoAAAAAMQMBAAAAAAAgAA	0	We're your demise.	
59	HR.MGRS	2014-12-20	AQ4OBAA+ODCVVVVaVVVVqlVVWolVVajmEVqMoAXoAiufjyL5/PIun/8y6f/67q//rur/////////	0	resource are human	
60	Defenders	2014-12-20	AQ4OBAACEDAAAAAAAAAADD/DAP+v8A/6/wD6qvAPqq8A/6/wD/r/AD+vwAP6/AMP/wwAAAAAAAAA	0	Defend One Another	
61	QUICK-WHIP	2014-12-20	AQ4OBAAjDACqqqqqqqqqqAoCqoCgKqgKAqqqqqqqqqqqoACqqgAKqqAAqqoACqqgAKqqqqqqqqqq	0	To Whip Quickly	
62	Enconex	2014-12-20	AQ4OBAAgFTAQ3HEAcDTMM8wNw+qqvAKqqAAgoIACCggAKqqAAIAgAAgCAACqoAAAAAAAAAAAAAAA	0	The Orginal #1 Clan	
63	akkhos	2014-12-20	AQ4OBAAwDBH///////////z///8D///AD//wAD/8AAD/AAAD8AAAPwAAA/wMwP//z///8D//////	0	play for the pleasure	
64	Pugnatores	2014-12-20	AQ4OBAAwDAf0AAF3QAAfXQAHUHQB0AHddAAHfQAAf3AADf0AAH3QAB13QAdAHQXQAHX0AAHdQAAf	0	We're warriors of legend	
65	Galconator	2014-12-21	AQ4OBAAwDAcAAAAD///8L///woAAPChVU8KFVTwoUFPChQU8KFVTwoVVPCgAA8KqqrwqqqrAAAAA	0	ONLY THE BEST	
66	TheSpire	2014-12-21	AQ4OBAA4Dz/////9VVVX2kR2faRHZ9VEdn0AR2fVVHZ9AAdn1VV2ff//Z9VVVn2qqqfVVVV/////	0	For A Better Tomorrow	
67	TDG	2014-12-21	AQ4OBAAQCioAAAADMzMwBVVVw08PEAc/zcN/D9AEzzHDTPMQB/D9w3P80ATw8cNVVVAMzMzAAAAA	0	B.I.T.C.H IDK YOUR LIFE	
68	Holy_Empire	2014-12-21	AQ4OBAA/EjgKqqoAKoqgQKAoEwIqDMQAgTEwUMRMShMbEFBO5TDFubwD5m4AC5uEUS7hEES6VVVS	0	Endure...Overcome	
69	Viva_La	2014-12-21	AQ4OBAA/DAcAAAABAFAEAAUAAABQAAAFAAAAUAAABQAAAFAAABVAAAVVAAAFAAAAUAAQBQBAAAAA	0	Revolution	
70	shadow_lord	2014-12-21	AQ4OBAAwDAdVar/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/	0	shadow	
71	StarKillers	2014-12-21	AQ4OBAA/DyAAAAABWv+sFa/rwWv6vBa/r0Gv6vQa/r1Bv+vUG/q9Qb+r1Bv+vUFv6vQWr6vAAAAA	0	We Will Find Your Star	
72	Nebula	2014-12-22	AQ4OBAAwDAcAAAABVVVUGqqqQb//5BtVXkG2qeQbb55BtvnkG2qeQbVV5Bv//kGqqqQVVVVAAAAA	0	The Galaxy's Finest Men	
73	testadm	2014-12-22	AQ4OBAAwDAdVar/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/	0	slogan	
74	dst1504team	2014-12-22	AQ4OBAAwDAeqqqqqqKiqgAqACKCoqIqKiogAqACqqqqqqgqqqqKqoqgAqCqqqoKqqqgqqqqAAAAA	0	we win	
75	OldFartsFTW	2014-12-22	AQ4OBAAwDAdVar/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/	0	<30? Die Whippah-Snappa!	
76	OldFarts	2014-12-22	AQ4OBAA/Ajyqqqqq/v7+ru6uqu7+6q7urqr+6v6qqqqqqqqqvr6vqvq7rqvuuur6u66+vq+qqqqq	0	<30? Die Whippa-Snappa!!	974
77	Salamander	2014-12-22	AQ4OBAAwDAcAAAABAKAEBCqBAAKoAAAKAACgoKAqiiqCqKKoCqqqAAKoAAAKAABAoBAQKoBAAAAA	0	The enemy's gate is down	
78	DOOM	2014-12-22	AQ4OBAAwDAdNm3YRNl2ExNthJxNYSZxOEnZxBJ2Zyyd92ONmdhBNnYSxNmElxNhJ5xMSdZxEneZx	0	Slogans are for goons	
79	Roxy	2014-12-22	AQ4OBAAwDAcA//xQPRUVD1XxEwFX0RBQXxVUgX1BMFX0V9QHdF8Bd8lckV+U9AQ2U8BDwRAEH/VV	0	Eats_Everything	
80	YourMom	2014-12-22	AQ4OBAAwKj8VVVVRUBAVFDAQUQ/VQRP1VREVVVERVVURFVVREFVUEUFVBRUFQVFUEFUVUBVRVVVV	0	Treat her right	
81	G.A.S.	2014-12-23	AQ4OBAAwDAdVar/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/	0		
82	Penguins	2014-12-23	AQ4OBAAcPCAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAwMAAE/IAVDMKhEPwiFQACoAAAAAAAAA	0	-> http://secushare.org/	
83	SVG	2014-12-23	AQ4OBAA9FQAAVVAAFVVABVVVAV9fVFX19VVVVVVVVVVVVVVVX1VfVX1X1RX/9UBVVVABVVQABVUA	0	The way she goes	
84	SomeGoodGuys	2014-12-23	AQ4OBAAwDAf////+qqAD6qoAPqqgA+qoAD6qAA/qgAP+pVX/6VV//lVf/+VX//5V///lf///////	0	TheGoodGuys	
85	Clan-85	2014-12-23	AQ4OBAAwDAdVar/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/	0	Excellent!	
86	farzards_ppl	2014-12-24	AQ4OBAABAjAAAAAAVQVQFVBVQUAAFBQAAUFVBVQVUFUBQAUAFABQAUAFABQAUAFABQAUAFAAAAAA	0	community pillars	
87	Animals	2014-12-24	AQ4OBAAwAj8AAAAAAAAAAAAAAAAAAAAVQAAFVQABQBQAUABQBQAFAFVVUAVVVQBQAFAFAAUAUABQ	0	UNLEASH THE ANIMALS!!	
88	Lucror	2014-12-24	AQ4OBAAwDAcAAAAAAAAABBEFAEEQQAUVBQAAAAAAAAABUFRUEQRFURRURAAAAAAAAAAAAAAAAAAA	0	Guardians Of The Galaxy	
89	Lads	2014-12-24	AQ4OBAAwDAcBVVUABVVAABVQNABUD1ABA/VAAP9VAD/1VAD/VQAD9UDAD1A/ADQP/AAD//AA///A	0	The English Line	
90	DCLAYCLAY	2014-12-24	AQ4OBAAwDAdVar/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/	0	We fight we win	
91	deathwatches	2014-12-24	AQ4OBAAwDAdVar/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/	0	idk	
92	Force	2014-12-25	AQ4OBAAwByEAAAAACqkAAqVUABVQAAFAAAAUAAABQAAAFUUAAlVQACUAAAJQAAAlAAACoAAAAAAA	0	Backup up your team!	
93	Zen	2014-12-25	AQ4OBAAwAD8AAAAA///8MAADww//zDMAPMMw/MwzM8zDM8zMMz8MwzwAzDP/8MPAAAw///8AAAAA	0	Play Calm, Play Smart :)	
94	Sparta	2014-12-25	AQ4OBAALHgcAAAAAAAAAAqqoAKqqoAqf6gCpqqAKmqoAqVagCqpqAKv2oAqqqgAqqoAAAAAAAAAA	0	Fight and win together	
95	H.C.the.BOOM	2014-12-25	AQ4OBAAwAz8AAAAACqoAKpVqiVUFVpAAAGkAAAaVUFVqpQWqCpBqACkGgAKQaAAkAYAJVVYCqqqo	0	...Any minute now...	
96	N-A	2014-12-25	AQ4OBAAwDAdVar/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/	0	Not Applicable	
97	FlyingDutch	2014-12-25	AQ4OBAAwPwdVVVVVVVVVVVVVVVVVVVVVVVqqqqqqqqqqqqqqqqqqr///////////////////////	0	Fly with your heart	
98	TeamG	2014-12-25	AQ4OBAAwDAdVar/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/VWq/9Var/1Vqv/	0	Grosses	
99	Air-	2014-12-25	AQ4OBAAbAC+/8P/u/w/5/fD+X1f/lf3v5V/6+VUD+lQAP6VA/+WlX/lZ1f5Vf1+VBdXlUFWZVQVW	0	It's what you breathe.	
100	WolfProdigy	2014-12-25	AQ4OBAAqCxUAAAAA/APwD///AP//8AVfVQBpVpAFqqUAVVVQD///AD6rwAD68AAD/AAADwAAAAAA	0	a tooth for a tooth	
101	GalconFTW	2014-12-25	AQ4OBAAwDj8AAAAAAAAAFVQAAQBQAAUAqoAVSIgBQAgABQCAAAAAADwDwADPMAAP/wAAMMAAAAAA	0	There's no fun in losing	
102	Wolf	2014-12-25	AQ4OBAAwDAcAAAAAAAAAAAUAAAAUAAFAUAAFAQAAFBQBAEBAFAUBAFQUEABQQAABAQAABAAAAAAA	0	Leading the pack.	
103	TheNightCrew	2014-12-26	AQ4OBAAQAz+qX1qqpfWqql9aqqX1qlVfVVVV9VX/////////VV9VVVX1VapfWqql9aqqX1qqpfWq	0	Nightly Gamers	
104	FlabEmpire	2014-12-26	AQ4OBAAwDAJDP8wVAPAFFA8BQFDwUAFFFAgFVQLAAAA6oACqwqqoNAAAAQFglABSqFAVCgVFDKMF	0	Bathe the galaxy in Fat	
105	Animators	2014-12-26	AQ4OBAAwDD8iIiICIiIgIiIiAiiigCCiowKCqAgKCoIAKqCgACqoAMCgAAAKAMAAoACqqqqiiIog	0	Beacon Up!	
106	black_knight	2014-12-26	AQ4OBAAqIj8AAQAAAGQABQ7BQBQgUANalwD1uXwBQwUAUPwUACMgAADcAAAWUAAA3AAAURQAAQEA	0	rush and withstand	
107	Galiphate	2014-12-26	AQ4OBAAwDD8AAAAAAAAADDMwA/P/DAAAAMAMMMw/wwzDDDDMP8MMwA//zAAAAAAAAAAAAAAAAAAA	0	Islamic State of Galcon	
